County,Violent,Homicide,Rape,Robbery,AggAssault,Property,Burglary,VehicleTheft,Total
Alameda County,633,5,27,210,391,2169,354,491,1324
Alameda County,162,0,7,94,61,2579,218,403,1958
Alameda County,40,0,8,21,11,685,105,46,534
Alameda County,618,0,74,369,175,6256,771,492,4993
Alameda County,166,0,12,114,40,2623,95,113,2415
Alameda County,400,1,36,159,204,4523,547,568,3408
Alameda County,552,5,54,275,218,4886,448,1241,3197
Alameda County,193,2,30,39,122,1554,139,136,1279
Alameda County,85,0,13,40,32,1399,187,122,1090
Alameda County,5520,78,372,2859,2211,27868,2599,5041,20228
Alameda County,14,0,3,5,6,227,46,19,162
Alameda County,112,0,12,56,44,1632,149,97,1386
Alameda County,454,0,18,283,153,4105,375,789,2941
Alameda County,277,2,8,79,188,1718,192,226,1300
Alameda County,44,0,3,21,20,357,73,10,274
Alameda County,4,0,3,0,1,96,15,3,78
Alameda County,1,0,0,0,1,29,20,0,9
Alameda County,282,2,2,227,51,1796,13,149,1634
Alameda County,107,0,7,43,57,1259,114,93,1052
Alameda County,70,1,13,22,34,763,56,61,646
Alameda County,0,0,0,0,0,207,0,167,40
Alpine County,13,0,2,0,11,29,12,3,14
Alpine County,0,0,0,0,0,3,1,1,1
Amador County,66,1,3,8,54,416,146,2,268
Amador County,11,0,1,1,9,46,9,2,35
Amador County,30,0,3,0,27,133,15,11,107
Amador County,3,0,1,0,2,44,8,6,30
Amador County,0,0,0,0,0,0,0,0,0
Amador County,0,0,0,0,0,31,0,16,15
Butte County,283,5,32,28,218,1290,524,42,724
Butte County,3,0,1,0,2,17,3,4,10
Butte County,557,0,100,104,353,2406,272,381,1753
Butte County,29,0,15,3,11,205,47,22,136
Butte County,122,2,24,30,66,822,176,211,435
Butte County,22,0,5,1,16,202,83,68,51
Butte County,0,0,0,0,0,16,1,0,15
Butte County,1,0,0,0,1,7,2,0,5
Butte County,6,0,3,1,2,127,2,6,119
Butte County,1,0,0,0,1,230,1,134,95
Calaveras County,139,1,32,8,98,668,274,14,380
Calaveras County,6,0,2,1,3,74,19,10,45
Calaveras County,0,0,0,0,0,0,0,0,0
Calaveras County,0,0,0,0,0,4,4,0,0
Calaveras County,0,0,0,0,0,92,0,45,47
Colusa County,26,0,8,4,14,169,53,5,111
Colusa County,6,0,4,1,1,78,28,16,34
Colusa County,20,0,3,4,13,76,28,14,34
Colusa County,0,0,0,0,0,0,0,0,0
Colusa County,6,0,0,0,6,24,0,21,3
Contra Costa County,332,8,28,89,207,1499,411,35,1053
Contra Costa County,648,12,55,238,343,3199,511,610,2078
Contra Costa County,166,0,16,67,83,1335,142,98,1095
Contra Costa County,1,0,0,1,0,155,14,4,137
Contra Costa County,541,2,67,234,238,4560,434,614,3512
Contra Costa County,152,1,4,91,56,1300,166,80,1054
Contra Costa County,31,0,5,15,11,341,31,32,278
Contra Costa County,59,0,2,17,40,866,77,63,726
Contra Costa County,446,7,41,157,241,1660,256,421,983
Contra Costa County,88,0,11,41,36,1484,112,96,1276
Contra Costa County,1034,16,36,307,675,4188,469,1239,2480
Contra Costa County,194,2,7,102,83,1009,101,319,589
Contra Costa County,120,0,6,40,74,2496,307,155,2034
Contra Costa County,5,0,1,1,3,48,15,8,25
Contra Costa County,83,0,17,26,40,570,99,85,386
Contra Costa County,4,0,1,3,0,358,42,30,286
Contra Costa County,23,0,1,3,19,124,36,9,79
Contra Costa County,61,0,4,34,23,676,2,82,592
Contra Costa County,1,0,0,1,0,111,14,3,94
Contra Costa County,23,1,5,7,10,296,36,13,247
Contra Costa County,58,0,4,21,33,1099,179,51,869
Contra Costa County,17,5,2,7,3,195,52,18,125
Contra Costa County,0,0,0,0,0,2,0,0,2
Contra Costa County,51,0,7,17,27,497,74,87,336
Contra Costa County,0,0,0,0,0,487,0,447,40
Del Norte County,84,2,11,18,53,424,192,4,228
Del Norte County,23,0,2,8,13,311,59,14,238
Del Norte County,2,0,0,0,2,69,0,29,40
El Dorado County,173,3,47,29,94,1695,482,27,1186
El Dorado County,39,0,2,6,31,281,67,50,164
El Dorado County,111,2,10,20,79,449,79,35,335
El Dorado County,0,0,0,0,0,0,0,0,0
El Dorado County,0,0,0,0,0,134,1,34,99
Fresno County,1082,14,38,102,928,3281,1378,599,1304
Fresno County,243,0,54,32,157,2276,307,159,1810
Fresno County,41,0,2,4,35,217,38,20,159
Fresno County,11,0,2,2,7,103,15,37,51
Fresno County,29,1,2,5,21,104,42,19,43
Fresno County,2457,35,129,687,1606,14603,2321,2051,10231
Fresno County,83,0,1,10,72,56,13,18,25
Fresno County,23,0,3,4,16,308,58,36,214
Fresno County,18,0,2,3,13,219,76,36,107
Fresno County,83,1,4,4,74,155,45,60,50
Fresno County,18,0,0,2,16,61,12,11,38
Fresno County,62,0,2,9,51,179,24,49,106
Fresno County,117,1,7,12,97,235,69,49,117
Fresno County,156,0,9,15,132,304,59,67,178
Fresno County,85,3,6,25,51,605,204,121,280
Fresno County,0,0,0,0,0,136,11,5,120
Fresno County,0,0,0,0,0,3,0,0,3
Fresno County,3,0,0,0,3,5,1,0,4
Fresno County,13,0,0,0,13,20,3,0,17
Fresno County,11,0,3,2,6,162,17,16,129
Fresno County,0,0,0,0,0,152,0,130,22
Fresno County,202,0,3,0,199,11,1,0,10
Glenn County,55,2,8,8,37,362,86,37,239
Glenn County,33,0,4,8,21,134,23,25,86
Glenn County,0,0,0,0,0,0,0,0,0
Glenn County,3,0,0,0,3,30,0,21,9
Humboldt County,310,1,21,59,229,1092,398,33,661
Humboldt County,72,1,12,16,43,605,122,58,425
Humboldt County,195,3,29,63,100,1350,187,186,977
Humboldt County,4,0,0,0,4,24,2,5,17
Humboldt County,28,0,2,9,17,317,50,36,231
Humboldt County,11,1,1,1,8,61,21,4,36
Humboldt County,5,0,1,1,3,120,15,2,103
Humboldt County,0,0,0,0,0,0,0,0,0
Humboldt County,0,0,0,0,0,40,0,0,40
Humboldt County,1,0,0,0,1,317,1,211,105
Imperial County,211,2,11,7,191,588,178,86,324
Imperial County,121,2,4,8,107,618,95,55,468
Imperial County,94,0,3,21,70,894,244,180,470
Imperial County,143,3,9,41,90,1184,228,95,861
Imperial County,14,0,1,2,11,70,13,4,53
Imperial County,5,0,0,1,4,56,10,10,36
Imperial County,0,0,0,0,0,0,0,0,0
Imperial County,1,0,0,0,1,66,1,41,24
Inyo County,60,1,9,3,47,192,86,1,105
Inyo County,34,0,9,6,19,183,29,4,150
Inyo County,0,0,0,0,0,0,0,0,0
Inyo County,0,0,0,0,0,18,0,13,5
Kern County,2864,29,244,433,2158,9449,2756,2013,4680
Kern County,196,3,3,16,174,437,115,144,178
Kern County,1766,34,116,701,915,16074,3888,2909,9277
Kern County,205,8,8,33,156,1118,203,312,603
Kern County,67,3,14,9,41,163,52,58,53
Kern County,142,3,31,7,101,401,119,39,243
Kern County,53,0,3,9,41,513,127,88,298
Kern County,67,0,6,4,57,244,70,25,149
Kern County,60,2,8,7,43,327,70,26,231
Kern County,83,0,13,15,55,281,102,59,120
Kern County,7,1,1,0,5,19,5,1,13
Kern County,11,0,7,0,4,44,6,2,36
Kern County,41,0,0,4,37,158,48,9,101
Kern County,0,0,0,0,0,71,19,0,52
Kern County,2,0,1,0,1,67,14,1,52
Kern County,3,1,0,0,2,238,1,197,40
Kings County,125,2,19,19,85,432,114,21,297
Kings County,118,1,8,12,97,272,65,50,157
Kings County,257,0,18,40,199,1242,131,211,900
Kings County,126,1,17,14,94,372,71,37,264
Kings County,0,0,0,0,0,1,1,0,0
Kings County,62,0,2,0,60,4,2,0,2
Kings County,69,0,7,3,59,58,26,4,28
Kings County,0,0,0,0,0,85,0,71,14
Lake County,193,3,21,19,150,435,204,6,225
Lake County,34,0,3,7,24,160,29,21,110
Lake County,119,1,19,36,63,460,146,104,210
Lake County,1,1,0,0,0,173,0,135,38
Lassen County,78,0,8,0,70,172,100,7,65
Lassen County,196,0,7,10,179,207,45,5,157
Lassen County,0,0,0,0,0,1,0,0,1
Lassen County,0,0,0,0,0,39,0,30,9
Los Angeles County,5564,68,300,1443,3753,15040,2798,3647,8595
Los Angeles County,161,2,11,89,59,1749,259,187,1303
Los Angeles County,84,1,10,35,38,1348,301,74,973
Los Angeles County,72,1,2,28,41,284,90,33,161
Los Angeles County,10,0,2,0,8,40,7,5,28
Los Angeles County,144,5,17,46,76,959,174,139,646
Los Angeles County,188,1,24,50,113,1110,196,308,606
Los Angeles County,168,0,11,37,120,441,127,90,224
Los Angeles County,327,1,29,107,190,1506,326,320,860
Los Angeles County,147,0,4,69,74,630,78,218,334
Los Angeles County,3,0,0,2,1,60,2,1,57
Los Angeles County,4,0,0,1,3,79,29,5,45
Los Angeles County,1,0,0,0,1,1933,1462,0,471
Los Angeles County,6,0,0,0,6,21,0,1,20
Los Angeles County,0,0,0,0,0,74,4,6,64
Los Angeles County,13,0,5,6,2,189,44,5,140
Los Angeles County,103,1,6,52,44,1499,257,45,1197
Los Angeles County,1,0,0,1,0,10,2,2,6
Los Angeles County,189,1,11,54,123,2617,299,211,2107
Los Angeles County,51,0,6,23,22,774,191,31,552
Los Angeles County,138,1,5,49,83,1004,128,252,624
Los Angeles County,1104,18,40,427,619,2346,334,727,1285
Los Angeles County,171,2,25,43,101,1189,239,171,779
Los Angeles County,89,2,2,29,56,214,39,64,111
Los Angeles County,182,0,2,102,78,1647,172,95,1380
Los Angeles County,127,1,10,65,51,1634,314,122,1198
Los Angeles County,21,0,6,4,11,306,66,17,223
Los Angeles County,294,0,24,139,131,1898,215,117,1566
Los Angeles County,12,0,0,0,12,14,5,0,9
Los Angeles County,277,2,49,89,137,2059,392,219,1448
Los Angeles County,72,1,4,25,42,908,282,52,574
Los Angeles County,352,4,30,151,167,2473,344,563,1566
Los Angeles County,55,0,2,10,43,305,48,42,215
Los Angeles County,304,2,34,126,142,1787,347,394,1046
Los Angeles County,82,0,5,30,47,625,164,74,387
Los Angeles County,324,3,20,131,170,1202,236,308,658
Los Angeles County,231,5,16,93,117,3305,480,263,2562
Los Angeles County,155,1,21,38,95,1501,187,73,1241
Los Angeles County,76,0,5,24,47,225,68,56,101
Los Angeles County,636,3,34,190,409,1485,199,356,930
Los Angeles County,51,0,7,9,35,449,97,26,326
Los Angeles County,35,1,6,15,13,331,81,24,226
Los Angeles County,44,1,5,16,22,416,86,19,311
Los Angeles County,150,0,7,74,69,155,5,19,131
Los Angeles County,1,0,1,0,0,18,10,1,7
Los Angeles County,458,3,31,249,175,1595,214,520,861
Los Angeles County,72,0,1,41,30,1180,156,125,899
Los Angeles County,671,2,51,358,260,2321,308,657,1356
Los Angeles County,26,0,1,8,17,240,73,28,139
Los Angeles County,222,0,20,104,98,1846,303,189,1354
Los Angeles County,86,0,6,28,52,701,145,93,463
Los Angeles County,151,3,6,53,89,449,75,126,248
Los Angeles County,51,1,6,13,31,627,133,47,447
Los Angeles County,125,1,6,40,78,411,83,100,228
Los Angeles County,67,0,4,26,37,254,53,40,161
Los Angeles County,2369,34,249,958,1128,11297,2185,2358,6754
Los Angeles County,29400,258,2274,9652,17216,95704,13809,15642,66253
Los Angeles County,454,1,21,218,214,1419,189,507,723
Los Angeles County,55,0,5,33,17,851,160,43,648
Los Angeles County,90,2,7,23,58,296,60,93,143
Los Angeles County,43,1,9,16,17,845,87,72,686
Los Angeles County,178,0,11,90,77,1448,480,388,580
Los Angeles County,126,0,7,59,60,1355,267,159,929
Los Angeles County,432,5,21,138,268,1571,343,306,922
Los Angeles County,658,8,55,194,401,2230,447,399,1384
Los Angeles County,4,0,0,1,3,88,36,3,49
Los Angeles County,347,4,16,151,176,1246,187,284,775
Los Angeles County,613,4,46,147,416,2866,570,260,2036
Los Angeles County,234,3,16,67,148,1052,198,273,581
Los Angeles County,940,12,101,342,485,4208,816,863,2529
Los Angeles County,160,1,5,53,101,1370,260,118,992
Los Angeles County,1,0,0,0,1,8,6,0,2
Los Angeles County,10,0,0,3,7,126,35,9,82
Los Angeles County,175,1,11,74,89,942,196,194,552
Los Angeles County,78,0,15,15,48,833,113,61,659
Los Angeles County,80,1,4,25,50,243,52,79,112
Los Angeles County,98,0,2,58,38,715,202,45,468
Los Angeles County,14,0,1,3,10,208,77,5,126
Los Angeles County,105,2,10,42,51,1035,205,176,654
Los Angeles County,664,3,40,247,374,3964,577,244,3143
Los Angeles County,15,0,1,0,14,79,29,4,46
Los Angeles County,95,0,1,27,67,678,110,77,491
Los Angeles County,102,1,11,32,58,500,132,114,254
Los Angeles County,622,4,21,179,418,2754,351,740,1663
Los Angeles County,29,0,2,11,16,566,94,38,434
Los Angeles County,64,1,7,23,33,331,122,34,175
Los Angeles County,280,3,26,114,137,2853,399,293,2161
Los Angeles County,27,0,1,12,14,485,133,80,272
Los Angeles County,38,0,4,14,20,386,152,27,207
Los Angeles County,260,6,21,129,104,2369,354,355,1660
Los Angeles County,213,1,27,93,92,1901,318,305,1278
Los Angeles County,444,5,31,122,286,2004,328,399,1277
Los Angeles County,8,0,2,1,5,165,24,11,130
Los Angeles County,29,2,3,2,22,313,102,12,199
Los Angeles County,6,0,2,3,1,21,4,0,17
Los Angeles County,4,0,0,2,2,125,0,14,111
Los Angeles County,4,0,1,1,2,99,4,6,89
Los Angeles County,8,0,3,2,3,220,2,4,214
Los Angeles County,15,0,2,6,7,323,114,11,198
Los Angeles County,1359,7,114,374,864,3346,792,638,1916
Los Angeles County,89,0,23,8,58,756,132,16,608
Los Angeles County,48,0,0,0,48,507,5,363,139
Los Angeles County,1181,0,10,1,1170,8,2,0,6
Madera County,457,1,34,14,408,1017,375,21,621
Madera County,39,0,2,3,34,234,71,54,109
Madera County,334,2,32,77,223,1301,235,242,824
Madera County,0,0,0,0,0,1,1,0,0
Madera County,0,0,0,0,0,140,0,99,41
Marin County,63,1,5,12,45,738,143,4,591
Marin County,1,0,0,0,1,15,2,0,13
Marin County,9,0,3,0,6,92,13,2,77
Marin County,20,0,1,9,10,223,36,10,177
Marin County,148,0,6,26,116,890,102,77,711
Marin County,2,0,0,0,2,25,5,1,19
Marin County,230,0,23,87,120,1686,299,214,1173
Marin County,7,0,0,1,6,258,21,13,224
Marin County,0,0,0,0,0,82,13,2,67
Marin County,0,0,0,0,0,0,0,0,0
Marin County,3,0,0,0,3,17,0,0,17
Marin County,1,0,0,0,1,10,7,0,3
Marin County,32,0,6,10,16,1094,360,50,684
Marin County,0,0,0,0,0,313,0,47,266
Mariposa County,79,0,8,2,69,171,53,3,115
Mariposa County,0,0,0,0,0,11,0,2,9
Mendocino County,178,2,29,14,133,414,174,15,225
Mendocino County,32,0,5,7,20,316,38,16,262
Mendocino County,110,1,9,24,76,298,117,34,147
Mendocino County,16,0,2,6,8,92,28,13,51
Mendocino County,0,0,0,0,0,0,0,0,0
Mendocino County,0,0,0,0,0,135,0,84,51
Merced County,500,4,19,24,453,1515,487,72,956
Merced County,206,1,10,22,173,1031,140,183,708
Merced County,64,0,0,2,62,169,36,44,89
Merced County,21,0,2,4,15,116,32,30,54
Merced County,40,0,1,11,28,315,85,66,164
Merced County,143,2,12,36,93,886,231,149,506
Merced County,540,5,34,103,398,2342,396,507,1439
Merced County,0,0,0,0,0,2,0,0,2
Merced County,0,0,0,0,0,3,3,0,0
Merced County,6,0,4,0,2,89,8,4,77
Merced County,0,0,0,0,0,430,0,336,94
Modoc County,31,0,2,1,28,29,6,1,22
Modoc County,10,0,2,1,7,30,14,3,13
Modoc County,0,0,0,0,0,0,0,0,0
Modoc County,2,0,0,0,2,7,0,4,3
Mono County,25,0,3,0,22,53,21,0,32
Mono County,42,0,15,1,26,131,17,9,105
Mono County,0,0,0,0,0,3,0,2,1
Monterey County,258,3,25,36,194,1125,361,31,733
Monterey County,11,0,0,0,11,103,20,2,81
Monterey County,7,0,0,6,1,39,8,1,30
Monterey County,17,0,1,4,12,73,12,21,40
Monterey County,54,1,9,9,35,165,31,36,98
Monterey County,19,0,3,9,7,148,43,25,80
Monterey County,78,0,11,23,44,975,127,74,774
Monterey County,14,0,1,1,12,169,27,6,136
Monterey County,782,8,66,241,467,3532,742,1081,1709
Monterey County,9,0,0,2,7,77,4,3,70
Monterey County,78,3,11,12,52,439,44,66,329
Monterey County,53,0,4,14,35,136,24,29,83
Monterey County,43,0,6,10,27,361,67,52,242
Monterey County,0,0,0,0,0,9,0,3,6
Monterey County,0,0,0,0,0,2,1,0,1
Monterey County,0,0,0,0,0,24,7,2,15
Monterey County,9,0,2,1,6,48,6,1,41
Monterey County,1,0,0,0,1,310,0,216,94
Napa County,69,0,11,7,51,269,55,2,212
Napa County,6,0,0,0,6,70,7,9,54
Napa County,280,1,66,55,158,1232,248,137,847
Napa County,12,0,1,1,10,67,21,3,43
Napa County,0,0,0,0,0,0,0,0,0
Napa County,328,0,5,0,323,2,0,0,2
Napa County,53,0,7,7,39,454,59,27,368
Napa County,5,0,0,0,5,42,5,1,36
Napa County,0,0,0,0,0,26,0,10,16
Nevada County,118,0,9,6,103,424,191,7,226
Nevada County,73,3,0,6,64,463,76,61,326
Nevada County,15,0,4,1,10,89,26,14,49
Nevada County,0,0,0,0,0,0,0,0,0
Nevada County,31,0,3,4,24,114,36,12,66
Nevada County,1,0,0,0,1,101,0,83,18
Orange County,247,2,11,21,213,881,142,97,642
Orange County,1120,8,141,396,575,8258,1123,1231,5904
Orange County,72,0,10,29,33,1450,169,72,1209
Orange County,246,1,15,91,139,2061,230,264,1567
Orange County,312,0,52,104,156,3739,450,355,2934
Orange County,52,1,7,21,23,596,98,74,424
Orange County,17,0,1,7,9,302,41,19,242
Orange County,53,0,5,23,25,1163,163,86,914
Orange County,373,2,80,108,183,3157,318,360,2479
Orange County,505,6,54,185,260,3909,627,504,2778
Orange County,386,2,61,99,224,4144,535,329,3280
Orange County,38,1,17,5,15,326,43,22,261
Orange County,140,0,20,41,79,1122,188,145,789
Orange County,6,0,1,3,2,130,41,16,73
Orange County,135,5,29,32,69,1764,273,147,1344
Orange County,180,3,18,76,83,2184,387,251,1546
Orange County,192,0,13,28,151,889,275,103,511
Orange County,87,1,3,29,54,918,160,58,700
Orange County,63,2,4,20,37,297,69,27,201
Orange County,1453,13,207,472,761,6808,854,1343,4611
Orange County,19,0,1,10,8,551,62,31,458
Orange County,95,3,10,31,51,526,83,99,344
Orange County,141,1,16,61,63,2118,241,183,1694
Orange County,4,0,0,0,4,44,9,0,35
Orange County,259,0,19,122,118,2611,511,276,1824
